longitud,latitud,concepto
-58.494254479238847,-34.602664432467336,CUIDACOCHES NO REGISTRADOS
-58.46107649732815,-34.560282522237344,CUIDACOCHES NO REGISTRADOS
-58.466911928338391,-34.633644633982563,CUIDACOCHES NO REGISTRADOS
-58.428965172654678,-34.586681251441384,CUIDACOCHES NO REGISTRADOS
-58.424467655339676,-34.577728570794349,CUIDACOCHES NO REGISTRADOS
-58.461009733576859,-34.628720136983894,CUIDACOCHES NO REGISTRADOS
-58.454155496990175,-34.578022722318117,CUIDACOCHES NO REGISTRADOS
-58.411834525448455,-34.580383225594609,CUIDACOCHES NO REGISTRADOS
-58.406231910600887,-34.581183048808114,CUIDACOCHES NO REGISTRADOS
-58.370331599008601,-34.619436410375307,CUIDACOCHES NO REGISTRADOS
-58.430391174395382,-34.619665418271538,CUIDACOCHES NO REGISTRADOS
-58.463423090875303,-34.630497783547796,CUIDACOCHES NO REGISTRADOS
-58.42499222237587,-34.574555642382428,CUIDACOCHES NO REGISTRADOS
-58.423181275799841,-34.578449318026337,CUIDACOCHES NO REGISTRADOS
-58.45560598414778,-34.5666735961941,CUIDACOCHES NO REGISTRADOS
-58.395959042859943,-34.588605770764964,CUIDACOCHES NO REGISTRADOS
-58.400023421275122,-34.619410206877227,CUIDACOCHES NO REGISTRADOS
-58.431749192992875,-34.574350209978007,CUIDACOCHES NO REGISTRADOS
-58.453786238211073,-34.565880202641885,CUIDACOCHES NO REGISTRADOS
-58.433144888567114,-34.572295256919141,CUIDACOCHES NO REGISTRADOS
-58.462383999960565,-34.576157026923781,CUIDACOCHES NO REGISTRADOS
-58.426206636115097,-34.613633601357471,CUIDACOCHES NO REGISTRADOS
-58.435573676341583,-34.610291696782539,CUIDACOCHES NO REGISTRADOS
-58.501890606481453,-34.638406113926187,CUIDACOCHES NO REGISTRADOS
-58.409588860941682,-34.58113046901294,CUIDACOCHES NO REGISTRADOS
-58.483707298443584,-34.573919631809972,CUIDACOCHES NO REGISTRADOS
-58.431951436101627,-34.617024601566278,CUIDACOCHES NO REGISTRADOS
-58.404371288840636,-34.592315017208755,CUIDACOCHES NO REGISTRADOS
-58.469271239253352,-34.624329963306153,CUIDACOCHES NO REGISTRADOS
-58.468567121689496,-34.628981424826947,CUIDACOCHES NO REGISTRADOS
-58.517540774329618,-34.65383537026765,CUIDACOCHES NO REGISTRADOS
-58.455982663398856,-34.625357596197055,CUIDACOCHES NO REGISTRADOS
-58.435408038408454,-34.58336554396957,CUIDACOCHES NO REGISTRADOS
-58.436411041260406,-34.582536434269954,CUIDACOCHES NO REGISTRADOS
-58.438110385629827,-34.585727904955561,CUIDACOCHES NO REGISTRADOS
-58.461000223755455,-34.560237448754535,CUIDACOCHES NO REGISTRADOS
-58.420031878567151,-34.599118382093032,CUIDACOCHES NO REGISTRADOS
-58.42847828804306,-34.55128127072232,CUIDACOCHES NO REGISTRADOS
-58.471222045905698,-34.623861094102601,CUIDACOCHES NO REGISTRADOS
-58.431045943723312,-34.589557417538614,CUIDACOCHES NO REGISTRADOS
-58.458065411090836,-34.626790981375741,CUIDACOCHES NO REGISTRADOS
-58.505403550664127,-34.653182177376266,CUIDACOCHES NO REGISTRADOS
-58.408673169820631,-34.581391486351741,CUIDACOCHES NO REGISTRADOS
-58.377524075083699,-34.623561222740555,CUIDACOCHES NO REGISTRADOS
-58.372213801236576,-34.603211884068472,CUIDACOCHES NO REGISTRADOS
-58.373620056074451,-34.603303063041082,CUIDACOCHES NO REGISTRADOS
-58.369748416912863,-34.624159509711149,CUIDACOCHES NO REGISTRADOS
-58.502163073614106,-34.661009523453963,CUIDACOCHES NO REGISTRADOS
-58.451703111055778,-34.579428782011249,CUIDACOCHES NO REGISTRADOS
-58.380956359628549,-34.604038366599241,CUIDACOCHES NO REGISTRADOS
-58.41235386089798,-34.640889083797234,CUIDACOCHES NO REGISTRADOS
-58.371259617058996,-34.598478599693891,CUIDACOCHES NO REGISTRADOS
-58.363182035727931,-34.59821987533546,CUIDACOCHES NO REGISTRADOS
-58.425931528593964,-34.569877418699363,CUIDACOCHES NO REGISTRADOS
-58.361539060003189,-34.604636793542667,CUIDACOCHES NO REGISTRADOS
-58.46088976964932,-34.628981552500264,CUIDACOCHES NO REGISTRADOS
-58.485026203984368,-34.574784786614792,CUIDACOCHES NO REGISTRADOS
-58.453572527490927,-34.626844814267969,CUIDACOCHES NO REGISTRADOS
-58.391776803762461,-34.584628040589024,CUIDACOCHES NO REGISTRADOS
-58.483805395316978,-34.573973701698954,CUIDACOCHES NO REGISTRADOS
-58.497329590739085,-34.664897973971136,CUIDACOCHES NO REGISTRADOS
-58.432116898763852,-34.582084710998508,CUIDACOCHES NO REGISTRADOS
-58.408321039905346,-34.586547596763161,CUIDACOCHES NO REGISTRADOS
-58.39600680592882,-34.583395445530279,CUIDACOCHES NO REGISTRADOS
-58.42934671963215,-34.586546139569414,CUIDACOCHES NO REGISTRADOS
-58.436678474521351,-34.563759351500934,CUIDACOCHES NO REGISTRADOS
-58.461031544889522,-34.62868407973329,CUIDACOCHES NO REGISTRADOS
-58.447421726999558,-34.569232957842971,CUIDACOCHES NO REGISTRADOS
-58.439595586924945,-34.614817759209586,CUIDACOCHES NO REGISTRADOS
-58.431858204846634,-34.574269107361459,CUIDACOCHES NO REGISTRADOS
-58.461544106304075,-34.627764618046989,CUIDACOCHES NO REGISTRADOS
-58.461740404664098,-34.62730488588695,CUIDACOCHES NO REGISTRADOS
-58.436478527856863,-34.610571341455909,CUIDACOCHES NO REGISTRADOS
-58.438503253053057,-34.546451893983431,CUIDACOCHES NO REGISTRADOS
-58.475349369073328,-34.630450254981284,CUIDACOCHES NO REGISTRADOS
-58.422008928467427,-34.61348804295109,CUIDACOCHES NO REGISTRADOS
-58.413117370849292,-34.585828483663484,CUIDACOCHES NO REGISTRADOS
-58.417227337915307,-34.584387772009507,CUIDACOCHES NO REGISTRADOS
-58.437815108154474,-34.589036147719327,CUIDACOCHES NO REGISTRADOS
-58.437292687774651,-34.586457907951491,CUIDACOCHES NO REGISTRADOS
-58.370730628354202,-34.613559321994835,CUIDACOCHES NO REGISTRADOS
-58.460041406639796,-34.558299316203865,CUIDACOCHES NO REGISTRADOS
-58.469436897031798,-34.623167097310038,CUIDACOCHES NO REGISTRADOS
-58.527199128957498,-34.643842737565677,CUIDACOCHES NO REGISTRADOS
-58.418665596118394,-34.585289744570098,CUIDACOCHES NO REGISTRADOS
-58.423235198500947,-34.579657273165395,CUIDACOCHES NO REGISTRADOS
-58.446495451561702,-34.569160722592763,CUIDACOCHES NO REGISTRADOS
-58.411502333370755,-34.571125231411749,CUIDACOCHES NO REGISTRADOS
-58.370114748947792,-34.618327475029098,CUIDACOCHES NO REGISTRADOS
-58.456543482540255,-34.562058231854316,CUIDACOCHES NO REGISTRADOS
-58.430226665482465,-34.650080787679222,CUIDACOCHES NO REGISTRADOS
-58.427649068137619,-34.606034872423216,CUIDACOCHES NO REGISTRADOS
