Clase,lat,lng
SU,-34.625505,-58.518890
SU,-34.619272,-58.518879
SU,-34.641445,-58.518699
SU,-34.631990,-58.518671
SU,-34.639167,-58.518665
SU,-34.614568,-58.518627
SU,-34.623402,-58.518589
DI,-34.642496,-58.518541
SU,-34.642289,-58.518491
DI,-34.642289,-58.518491
SU,-34.601036,-58.518487
SU,-34.631828,-58.518445
SU,-34.591038,-58.518285
SU,-34.594226,-58.518191
SU,-34.594226,-58.518191
SU,-34.594226,-58.518191
SU,-34.608621,-58.518157
SU,-34.614048,-58.517896
SU,-34.622824,-58.517811
SU,-34.653142,-58.517799
SU,-34.613244,-58.517705
SU,-34.617653,-58.517623
SU,-34.600403,-58.517612
SU,-34.651966,-58.517543
SU,-34.613797,-58.517523
SU,-34.619893,-58.517469
SU,-34.606108,-58.517445
SU,-34.620484,-58.517312
SU,-34.659595,-58.517276
SU,-34.643766,-58.517191
OF,-34.643766,-58.517191
DI,-34.643766,-58.517191
DI,-34.620382,-58.517135
SU,-34.627859,-58.517063
SU,-34.623824,-58.516987
SU,-34.607798,-58.516973
SU,-34.590226,-58.516963
SU,-34.649746,-58.516925
SU,-34.601091,-58.516903
SU,-34.660486,-58.516886
SU,-34.656835,-58.516873
SU,-34.638449,-58.516851
SU,-34.649306,-58.516755
OP,-34.623670,-58.516722
SU,-34.626617,-58.516630
SU,-34.626096,-58.516610
SU,-34.626096,-58.516610
SU,-34.593758,-58.516435
SU,-34.593758,-58.516435
RE,-34.591151,-58.516371
SU,-34.653369,-58.516365
SU,-34.597279,-58.516195
SU,-34.597279,-58.516195
SU,-34.590802,-58.516064
SU,-34.644752,-58.516057
SU,-34.617571,-58.516026
SU,-34.617571,-58.516026
SU,-34.631094,-58.515992
DI,-34.645721,-58.515912
SU,-34.625404,-58.515828
SU,-34.588689,-58.515632
SU,-34.620302,-58.515632
SU,-34.594585,-58.515589
SU,-34.594585,-58.515589
SU,-34.620609,-58.515574
SU,-34.620609,-58.515574
SU,-34.585207,-58.515520
DI,-34.646236,-58.515480
SU,-34.662702,-58.515430
SU,-34.662702,-58.515430
DI,-34.629994,-58.515288
SU,-34.631922,-58.514916
SU,-34.631922,-58.514916
SU,-34.653996,-58.514896
SU,-34.653996,-58.514896
RE,-34.585394,-58.514808
SU,-34.655955,-58.514806
SU,-34.655955,-58.514806
SU,-34.644381,-58.514786
SU,-34.604068,-58.514657
SU,-34.604022,-58.514582
SU,-34.581832,-58.514581
SU,-34.651254,-58.514576
SU,-34.620045,-58.514530
SU,-34.601920,-58.514486
SU,-34.608902,-58.514423
DI,-34.628514,-58.514411
SU,-34.617821,-58.514205
SU,-34.617821,-58.514205
DI,-34.628412,-58.514173
SU,-34.623745,-58.514116
SU,-34.650598,-58.514057
SU,-34.624455,-58.513773
SU,-34.624455,-58.513773
SU,-34.591828,-58.513739
SU,-34.582545,-58.513730
SU,-34.626051,-58.513721
SU,-34.623440,-58.513698
SU,-34.626068,-58.513609
SU,-34.595936,-58.513495
SU,-34.603435,-58.513478
SU,-34.580928,-58.513471
DI,-34.622055,-58.513358
SU,-34.658525,-58.513046
SU,-34.658525,-58.513046
SU,-34.618477,-58.513004
SU,-34.653951,-58.512950
SU,-34.653951,-58.512950
SU,-34.653951,-58.512950
SU,-34.604467,-58.512906
SU,-34.604467,-58.512906
